t,x,y,z,abs
20382940400,808004021.6,-142165005.2,118352003.4,828908067.5
20387908700,791036009.8,-142893001.4,119565002.6,812682083.3
20392877010,776206970.2,-148427993.1,123208999.6,799817846.3
20397845320,775590002.5,-151532992.7,107741996.6,797565318.8
20402813700,738810002.8,-159390002.5,106678001.6,763299147.9
20407782010,737789988.5,-148062005.6,108053997.2,760218449.5
20412750320,736409008.5,-170211002.2,107072003.2,763370438.9
20417718630,722804009.9,-175512999.3,120499000,753505447
20422687160,696977019.3,-178488001.2,112424001.1,728199209
20427655470,680526971.8,-176690995.7,118766002.4,713051211.8
20432623790,668663978.6,-172363996.5,127552002.7,702203942.5
20437592090,654256999.5,-177683994.2,138785004.6,692015246
20442560400,622997999.2,-183024004.1,138105005,663850348.7
20447528780,622763991.4,-176312997.9,161422997.7,667067197.8
20452497080,596099019.1,-181649997.8,170434996.5,646048643.9
20457465390,578966975.2,-184567004.4,179506003.9,633632498.3
20462433690,561686992.6,-180332005,188636004.9,619350831.2
20467402220,539574027.1,-166554004,178672999.1,592287436.6
20472370520,500612974.2,-186324998.7,202289998.5,571184382.3
20477338830,480709999.8,-184535995.1,206812992.7,554893910
20482307140,470129996.5,-180340006.9,213792994.6,547039465
20487275500,445091992.6,-188157007.1,223231002.7,532298808.7
20492243810,419854998.6,-179210007.2,215970993,505012788.3
20497212120,380214989.2,-194251999.3,225538000.5,482871273.6
20502180420,347665011.9,-185455992.8,204046994.4,443734224.2
20507148950,331725001.3,-195814997,216140002,441702943.2
20512117260,303772985.9,-177398994.6,192387998.1,400950835
20517085560,280566990.4,-175804004.1,197433993.2,385493275.7
20522053940,254976004.4,-179059997.2,190576002,365232060.4
20527022180,226950004.7,-177541002.6,186180993.9,343060453.5
20531990570,177287995.8,-171249002.2,189035996.8,310631393
20536958880,161203995.3,-177100002.8,215902000.7,322435750.2
20541927200,113958001.1,-180629998.4,206921994.7,297372383.1
20546895500,81090003.25,-172313004.7,217164993.3,288839046.1
20551864040,52967000.75,-171306997.5,222685992.7,285903203.8
20556832330,22359000.52,-160802006.7,235462993.4,286007048
20561800640,-12972000.06,-160003006.5,233941003.7,283721039.2
20566768950,-45949000.87,-159387007.4,242064997.6,293446744.5
20571737330,-93327000.74,-158797994.3,240682005.9,303075172.2
20576705640,-128773003.8,-165417000.7,236974999.3,316389666.3
20581673950,-152134001.3,-164989993,252485990.5,337810046.5
20586642500,-177931994.2,-152616992.6,258489012.7,348953164
