t,x,y,K
1.336295,0.01276846,0.009922335,0.02571486
1.340458,0.01186747,0.01005568,0.0230151
1.344621,0.01098299,0.009933452,0.02400685
1.348784,0.01004409,0.0100819,0.0240413
1.352947,0.009156564,0.009990285,0.02512637
1.35711,0.008178492,0.01007982,0.02610397
1.361273,0.007256322,0.01006077,0.02540606
1.365435,0.006300698,0.01012991,0.0252511
1.369598,0.00538637,0.01009286,0.0252745
1.373761,0.004430254,0.01017922,0.02575261
1.377924,0.003508697,0.01029674,0.02357551
1.382087,0.002623222,0.01016228,0.02326487
1.38625,0.001711337,0.01026972,0.02294663
1.390413,0.0008403972,0.01017083,0.02487349
1.394576,-0.0001448529,0.0102713,0.02617798
1.398739,-0.001065122,0.01024029,0.0243763
1.402902,-0.001981614,0.01032498,0.02370136
1.407065,-0.002869612,0.0104043,0.02347666
1.411227,-0.003780072,0.01016313,0.0237061
1.41539,-0.004677489,0.01024907,0.02366237
1.419553,-0.005587793,0.010064,0.02499844
1.423716,-0.00652988,0.01007187,0.02423012
1.427879,-0.007417274,0.01016057,0.02202442
1.432042,-0.008271988,0.009945947,0.02238836
1.436205,-0.00917721,0.01005048,0.02282463
1.440368,-0.01003974,0.01013748,0.02082443
1.444531,-0.01087233,0.009944885,0.02204351
1.448694,-0.01178912,0.01010166,0.02197276
1.452857,-0.0125971,0.01020717,0.02126955
1.45702,-0.01350431,0.01003561,0.0215868
1.461182,-0.01432842,0.01018049,0.01997599
1.465345,-0.01515136,0.01026858,0.0199799
1.469508,-0.01599063,0.01011246,0.02144747
1.473671,-0.01687725,0.01025801,0.02181135
1.477834,-0.01771257,0.01034953,0.01962837
1.481997,-0.01852571,0.01021981,0.0206868
1.48616,-0.0194073,0.01031682,0.02145987
1.490323,-0.02023686,0.01043094,0.01978559
1.494486,-0.02106199,0.0102652,0.02114278
1.498649,-0.02194922,0.01036534,0.02143864
1.502812,-0.02276079,0.01055458,0.01924299
1.506974,-0.0235654,0.01059665,0.01848114
1.511137,-0.0243609,0.0104741,0.0191924
1.5153,-0.02519569,0.01057132,0.01830794
1.519463,-0.02594876,0.01059534,0.01710391
1.523626,-0.02673178,0.01069768,0.01737197
1.527789,-0.02749879,0.010534,0.01903273
1.531952,-0.02835331,0.0106137,0.01975409
1.536115,-0.02914631,0.01070517,0.0166098
1.540278,-0.02986465,0.01074263,0.01445148
1.544441,-0.03055936,0.01077649,0.01624733
1.548604,-0.03136151,0.01061626,0.01892205
1.552767,-0.03217355,0.01065222,0.01821825
1.556929,-0.03294583,0.01073249,0.01627803
1.561092,-0.03367258,0.01076943,0.01386364
1.565255,-0.03433057,0.01078608,0.01383514
1.569418,-0.03505622,0.01081392,0.01393874
1.573581,-0.03571519,0.01092301,0.01313443
1.577744,-0.03639862,0.01094558,0.01378948
1.581907,-0.03709631,0.010974,0.01242202
1.58607,-0.03771195,0.01096638,0.01218133
1.590233,-0.03839478,0.01101035,0.01234023
1.594396,-0.03901907,0.01099475,0.01182838
1.598559,-0.03967461,0.01108018,0.01140482
1.602721,-0.04027496,0.01104478,0.01019251
1.606884,-0.04086264,0.01105953,0.01113635
1.611047,-0.04151825,0.01107545,0.01182298
1.61521,-0.0421415,0.01110671,0.01090927
1.619373,-0.04274752,0.01108215,0.01111528
1.623536,-0.04338399,0.01111027,0.01141545
1.627699,-0.04400394,0.01113372,0.01109234
1.631862,-0.04462159,0.0111798,0.01016445
1.636025,-0.0451921,0.01113251,0.0105717
1.640188,-0.04583132,0.01114923,0.0106201
1.644351,-0.04640468,0.01115992,0.01112306
1.648514,-0.04707316,0.01120132,0.01116516
1.652676,-0.04764803,0.01118568,0.01091554
1.656839,-0.04830216,0.01124067,0.0107922
1.661002,-0.0488706,0.01120118,0.008649256
1.665165,-0.0493693,0.01148422,0.006804994
1.669328,-0.04982411,0.01139081,0.007644611
1.673491,-0.05039021,0.01134459,0.0087761
1.677654,-0.0509253,0.01133585,0.007635378
1.681817,-0.05141644,0.01127758,0.007318503
1.68598,-0.05191623,0.01152169,0.00678329
1.690143,-0.05236852,0.01145967,0.006805322
1.694306,-0.0528732,0.0113578,0.006850379
1.698468,-0.05333154,0.01130467,0.006229259
1.702631,-0.05379339,0.01148478,0.005809828
1.706794,-0.05422352,0.01140028,0.005902615
1.710957,-0.05467716,0.01129354,0.005068705
1.71512,-0.0550512,0.0115309,0.005069207
1.719283,-0.0555063,0.01142231,0.005243445
1.723446,-0.0558714,0.01129942,0.004262368
1.727609,-0.05626834,0.0115209,0.004572249
1.731772,-0.05666672,0.01134945,0.00394692
1.735935,-0.05700196,0.01161318,0.004074089
1.740098,-0.05740963,0.01146089,0.003204475
1.744261,-0.05766724,0.01166292,0.002821467
1.748423,-0.05803358,0.01149988,0.003140646
1.752586,-0.05832667,0.01164909,0.002505704
1.756749,-0.0586228,0.01147099,0.002534274
1.760912,-0.05891276,0.01173593,0.002713516
1.765075,-0.05923569,0.01148647,0.002308051
1.769238,-0.05947647,0.01168302,0.001858507
1.773401,-0.0597424,0.01151257,0.002360168
1.777564,-0.06004541,0.01162616,0.001970694
1.781727,-0.06021464,0.01173773,0.001332727
