t,x,y,z,abs
0.62599939,-4.463524818,-0.0343080014,-0.4279049933,4.484120151
0.6309677,-4.409811974,-0.0313940011,-0.4353330135,4.43135894
0.63593593,-4.357132912,-0.04525600001,-0.426387012,4.378180124
0.64090424,-4.300753117,-0.04939800128,-0.4010080099,4.319690377
0.64587233,-4.26940918,-0.04623999819,-0.3448030055,4.2835595
0.65084064,-4.200842857,-0.04543299973,-0.2433959991,4.208133373
0.65580894,-4.145310879,-0.05185599998,-0.1183260009,4.147323519
0.66077719,-4.069413185,-0.05598099902,0.008933999576,4.069808025
0.6657455,-4.016065121,-0.05330200121,0.1263370067,4.018405305
0.67071381,-3.961555958,-0.05569799989,0.200496003,3.967017333
0.67568187,-3.893743038,-0.05612200126,0.2624759972,3.90298324
0.68065018,-3.831855059,-0.06633400172,0.2955909967,3.843811575
0.68561848,-3.76397109,-0.07917200029,0.3310090005,3.779327127
0.69058673,-3.706790924,-0.06822799891,0.3998610079,3.728919795
0.69555504,-3.62915206,-0.06699799746,0.4758209884,3.660824909
0.70052311,-3.555190086,-0.0756129995,0.573348999,3.601919343
0.70549142,-3.494309902,-0.07975599915,0.6540910006,3.555896195
0.71045965,-3.429953098,-0.08190400153,0.7349029779,3.508756034
0.71542795,-3.357186079,-0.08196999878,0.796604991,3.451376097
0.72039626,-3.27362299,-0.08720000088,0.8535889983,3.384202343
0.72536434,-3.227109909,-0.09752699733,0.9298120141,3.359806581
0.73033265,-3.145946026,-0.09856700152,1.037320971,3.314019712
0.73530096,-3.065942049,-0.1047779992,1.133000016,3.270270343
0.74026919,-2.996716976,-0.0969870016,1.219287038,3.236723651
0.7452375,-2.916675091,-0.1016070023,1.303370953,3.196262412
0.7502058,-2.840228081,-0.1089709997,1.387696028,3.162984428
0.75517388,-2.762631893,-0.1069739982,1.450760007,3.122224049
0.76014219,-2.691067934,-0.1315789968,1.530894995,3.098838354
0.76511049,-2.611219883,-0.1275729984,1.625754952,3.078607366
0.77007872,-2.53759408,-0.1428789943,1.728219032,3.07352227
0.77504703,-2.465256929,-0.1343760043,1.82151103,3.068134787
0.78001514,-2.382402897,-0.1476410031,1.91287601,3.058878235
0.78498344,-2.296163082,-0.1298480034,1.980782986,3.035247377
0.78995175,-2.230499029,-0.1623450071,2.025264978,3.017147668
0.79492001,-2.144644022,-0.1541370004,2.091815948,2.999825021
0.79988831,-2.065021038,-0.1506810039,2.168514013,2.998244433
0.80485662,-1.979573965,-0.1519380063,2.252968073,3.002942453
0.8098247,-1.89793098,-0.1508170068,2.364361048,3.035636826
0.81479301,-1.822569966,-0.1473809928,2.450057983,3.057166427
0.81976132,-1.748553038,-0.1559360027,2.581880093,3.122156078
0.82472955,-1.671306968,-0.1527460068,2.671294928,3.154744825
0.82969786,-1.583560944,-0.1425849944,2.75661397,3.182281622
0.83466594,-1.504623055,-0.1564719975,2.833103895,3.211674284
0.83963424,-1.417683959,-0.1585229933,2.893590927,3.22611621
0.84460247,-1.327651978,-0.1534200013,2.966844082,3.253976226
0.84957078,-1.260787964,-0.1386609972,3.043303013,3.2970451
0.85453908,-1.171834946,-0.1622010022,3.11103797,3.328372508
0.85950716,-1.091820955,-0.1521749943,3.182023048,3.367566021
0.86447547,-1.004044056,-0.1419830024,3.244314909,3.399094419
0.86944378,-0.9204329848,-0.1436980069,3.319467068,3.447710488
0.87441201,-0.8338119984,-0.1333619952,3.395524979,3.498945234
0.87938031,-0.76572299,-0.1325320005,3.484474897,3.570078674
0.88434862,-0.6803770065,-0.1340579987,3.564790964,3.631613834
0.8893167,-0.5848309994,-0.1356000006,3.648449898,3.697512855
0.89428501,-0.5030580163,-0.1250250041,3.735476017,3.771270302
0.89925331,-0.4112020135,-0.1192540005,3.823487043,3.847383758
0.90422155,-0.3260740042,-0.1109969988,3.878983021,3.894246251
0.90918962,-0.2358260006,-0.1097770035,3.921133995,3.929752753
0.91415818,-0.1620849967,-0.09634199739,3.942770958,3.947277056
0.91912625,-0.07377800345,-0.1063420027,3.984610081,3.986711591
0.92409445,0.02663899958,-0.09205900133,4.051439762,4.052573089
0.92906276,0.1224989966,-0.08930400014,4.131299973,4.13408039
0.93403106,0.2065690011,-0.06732299924,4.255304813,4.260847591
0.93899915,0.297973007,-0.07405100018,4.380362988,4.391110493
0.94396746,0.3824079931,-0.05001299828,4.489712238,4.506246016
0.94893577,0.4669359922,-0.04538299888,4.523498058,4.547760275
0.95390398,0.5778489709,-0.04585599899,4.522421837,4.559420081
0.95887229,0.6671789885,-0.01767100021,4.496068954,4.545335643
0.96384059,0.7661250234,-0.02526300028,4.461212158,4.526588085
0.96880866,0.8506399989,-0.02060200088,4.468130112,4.54842825
0.97377696,0.9542160034,-0.006099000107,4.509636879,4.609489143
0.97874527,1.050457954,-0.001023999997,4.590508938,4.709165029
0.9837135,1.146432996,-0.0006489999942,4.648476124,4.78775932
0.98868181,1.227882028,0.01418299973,4.700311184,4.858067585
0.99364989,1.352045059,0.01955999993,4.750767231,4.93945318
0.99861818,1.432880044,0.01783400029,4.797467232,5.006910735
1.00358642,1.549237967,0.03536200151,4.823620796,5.066429348
1.00855472,1.636548996,0.03383100033,4.877120972,5.144486964
1.013523,1.740270972,0.03235400096,4.919647217,5.218478569
1.01849108,1.853240967,0.05475199968,4.965563774,5.300407858
1.02345939,1.949144959,0.04827100039,4.964590073,5.33372766
1.0284277,2.047068119,0.05611199886,4.976565838,5.381435123
1.03339593,2.149285078,0.05913899839,4.979907036,5.424241685
1.03836424,2.255780935,0.05736000091,4.993755817,5.479911948
1.04333254,2.361655951,0.06045899913,4.998923779,5.52904269
1.04830062,2.454895973,0.06830199808,5.021717072,5.590064557
1.05326891,2.55459094,0.07610300183,5.042952061,5.653591074
1.05823715,2.670190096,0.07425300032,5.064963818,5.726193075
1.06320545,2.763362885,0.07696499676,5.082936764,5.786047372
1.06817353,2.865207911,0.06516700238,5.099237919,5.849435055
1.07314184,2.961421013,0.08421099931,5.121047974,5.916268947
1.07811014,3.066397905,0.0693930015,5.119627953,5.968098682
1.08307839,3.158601999,0.0638569966,5.087784767,5.988856163
1.08804669,3.269227982,0.06780000031,5.02553606,5.995703556
1.093015,3.350372076,0.064447999,4.961590767,5.987197135
1.09798308,3.4497931,0.08269000053,4.92701292,6.015261124
1.10295139,3.565124989,0.07703399658,4.91461277,6.072023477
1.10791969,3.653256893,0.07138200104,4.905211926,6.116574642
1.11288793,3.759599924,0.06333599985,4.877212048,6.15839268
1.11785623,3.843486071,0.07446300238,4.847365856,6.186669997
1.12282431,3.93123889,0.06404799968,4.77494812,6.185375567
1.12779263,4.017984867,0.07771699876,4.705392838,6.187969302
1.13276094,4.122757912,0.07244999707,4.643408775,6.209961904
1.13772917,4.207233906,0.06982299685,4.59375,6.229625306
1.14269748,4.292914867,0.06270100176,4.58509922,6.281415791
1.14766578,4.374932766,0.08218599856,4.583866119,6.337082913
1.15263387,4.460511208,0.04919200018,4.575675011,6.390256794
1.15760217,4.537707806,0.06896500289,4.560511112,6.433802134
1.16257041,4.618353844,0.06497299671,4.504747868,6.451834395
1.1675387,4.695280075,0.06123099849,4.446671009,6.46701533
1.17250701,4.782987118,0.05546399951,4.398297787,6.498081674
1.17747509,4.845456123,0.05951400101,4.385872841,6.535890722
1.18244341,4.923480034,0.05434099957,4.378294945,6.588859933
1.18741172,5.009916782,0.06370099634,4.33485508,6.62527679
1.19237995,5.078412056,0.05662899837,4.262700081,6.630542047
1.19734827,5.148220062,0.05465200171,4.130739212,6.600769886
1.20231657,5.2169981,0.0531870015,3.994051933,6.570566861
1.20728465,5.282361031,0.05223799869,3.862195969,6.543899798
1.21225296,5.337061882,0.05910500139,3.766233921,6.53239932
1.21722119,5.412126064,0.07138200104,3.71564889,6.56523043
1.2221895,5.454799175,0.0673360005,3.68641305,6.583996458
1.22715782,5.522566795,0.07798200101,3.712030888,6.654622342
1.2321259,5.569846153,0.08174800128,3.699028969,6.686754386
1.2370942,5.618246078,0.08795700222,3.671356916,6.712025554
1.24206252,5.677299023,0.08479099721,3.609801054,6.72826704
1.24703075,5.723175049,0.08177000284,3.535958052,6.727883643
1.25199903,5.779860973,0.07902300358,3.457016945,6.735280519
1.25696711,5.835395813,0.08625199646,3.382535934,6.745430531
1.26193542,5.877799034,0.08438900113,3.34839797,6.765161636
1.26690366,5.916782856,0.09721899778,3.323551893,6.787029401
1.27187196,5.959538937,0.1008249968,3.3055861,6.815656203
1.27684027,6.001206875,0.1045290008,3.277661085,6.838747872
1.28180834,6.053758144,0.1035130024,3.208621025,6.852295345
1.28677664,6.079012871,0.1241270006,3.081785917,6.816686104
1.29174495,6.124722004,0.1183720008,2.940119028,6.794890099
1.29671319,6.140573025,0.1224260032,2.781179905,6.742150018
1.3016815,6.200625896,0.1220050007,2.640722036,6.740627538
1.3066498,6.230718136,0.1290169954,2.523550034,6.723600125
1.31161789,6.259508133,0.1411650032,2.434365034,6.717700704
1.31658619,6.291839123,0.1487620026,2.370790958,6.725326717
1.3215545,6.327644825,0.1445170045,2.327946901,6.743835034
1.32652272,6.347842216,0.1571969986,2.26995492,6.74333056
